,ind1,ind2,combined
8529,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8530,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8531,MARITIME,CONSTRUCTION AND ENGINEERING,MARITIME|CONSTRUCTION AND ENGINEERING
8532,CIVIC AND SOCIAL ORGANIZATION,CIVIC AND SOCIAL ORGANIZATION,CIVIC AND SOCIAL ORGANIZATION|CIVIC AND SOCIAL ORGANIZATION
8533,RETAIL,RETAIL,RETAIL|RETAIL
8534,COMMERCIAL REAL ESTATE,REAL ESTATE,COMMERCIAL REAL ESTATE|REAL ESTATE
8535,INFORMATION TECHNOLOGY AND SERVICES,PROFESSIONAL SERVICES,INFORMATION TECHNOLOGY AND SERVICES|PROFESSIONAL SERVICES
8536,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8537,MANAGEMENT CONSULTING,INTERNET SOFTWARE AND SERVICES,MANAGEMENT CONSULTING|INTERNET SOFTWARE AND SERVICES
8538,HOSPITAL AND HEALTH CARE,FOOD AND STAPLES RETAILING,HOSPITAL AND HEALTH CARE|FOOD AND STAPLES RETAILING
8539,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8540,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8541,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8542,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT,INVESTMENT MANAGEMENT|INVESTMENT MANAGEMENT
8543,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8544,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8545,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
8546,ACCOUNTING,ACCOUNTING,ACCOUNTING|ACCOUNTING
8547,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
8548,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8549,INDUSTRIAL AUTOMATION,COMPUTER SOFTWARE,INDUSTRIAL AUTOMATION|COMPUTER SOFTWARE
8550,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
8551,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8552,ANIMATION,ANIMATION,ANIMATION|ANIMATION
8553,"HEALTH, WELLNESS AND FITNESS",HIGHER EDUCATION,"HEALTH, WELLNESS AND FITNESS|HIGHER EDUCATION"
8554,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
8555,MENTAL HEALTH CARE,MENTAL HEALTH CARE,MENTAL HEALTH CARE|MENTAL HEALTH CARE
8556,INFORMATION TECHNOLOGY AND SERVICES,DIVERSIFIED TELECOMMUNICATION SERVICES,INFORMATION TECHNOLOGY AND SERVICES|DIVERSIFIED TELECOMMUNICATION SERVICES
8557,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8558,BANKING,BANKING,BANKING|BANKING
8559,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8560,WIRELESS,WIRELESS,WIRELESS|WIRELESS
8561,INFORMATION TECHNOLOGY AND SERVICES,DISTRIBUTORS,INFORMATION TECHNOLOGY AND SERVICES|DISTRIBUTORS
8562,RETAIL,RETAIL,RETAIL|RETAIL
8563,RESEARCH,DIVERSIFIED CONSUMER SERVICES,RESEARCH|DIVERSIFIED CONSUMER SERVICES
8564,STAFFING AND RECRUITING,COMMUNICATIONS EQUIPMENT,STAFFING AND RECRUITING|COMMUNICATIONS EQUIPMENT
8565,BANKING,BANKING,BANKING|BANKING
8566,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8567,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8568,INTERNET,INFORMATION TECHNOLOGY AND SERVICES,INTERNET|INFORMATION TECHNOLOGY AND SERVICES
8569,MEDICAL PRACTICE,"HEALTH, WELLNESS AND FITNESS","MEDICAL PRACTICE|HEALTH, WELLNESS AND FITNESS"
8570,ONLINE MEDIA,MEDIA,ONLINE MEDIA|MEDIA
8571,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8572,VENTURE CAPITAL AND PRIVATE EQUITY,VENTURE CAPITAL AND PRIVATE EQUITY,VENTURE CAPITAL AND PRIVATE EQUITY|VENTURE CAPITAL AND PRIVATE EQUITY
8573,ACCOUNTING,PROFESSIONAL SERVICES,ACCOUNTING|PROFESSIONAL SERVICES
8574,INTERNET,MEDIA,INTERNET|MEDIA
8575,REAL ESTATE,PROFESSIONAL SERVICES,REAL ESTATE|PROFESSIONAL SERVICES
8576,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
8577,COMPUTER SOFTWARE,PROFESSIONAL SERVICES,COMPUTER SOFTWARE|PROFESSIONAL SERVICES
8578,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
8579,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8580,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8581,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8582,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
8583,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8584,AVIATION AND AEROSPACE,AEROSPACE AND DEFENSE,AVIATION AND AEROSPACE|AEROSPACE AND DEFENSE
8585,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8586,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8587,HIGHER EDUCATION,NON-PROFIT ORGANIZATION MANAGEMENT,HIGHER EDUCATION|NON-PROFIT ORGANIZATION MANAGEMENT
8588,CIVIL ENGINEERING,CIVIL ENGINEERING,CIVIL ENGINEERING|CIVIL ENGINEERING
8589,RESTAURANTS,"HOTELS, RESTAURANTS AND LEISURE","RESTAURANTS|HOTELS, RESTAURANTS AND LEISURE"
8590,BANKING,BANKING,BANKING|BANKING
8591,BANKING,DIVERSIFIED FINANCIAL SERVICES,BANKING|DIVERSIFIED FINANCIAL SERVICES
8592,TRANSPORTATION/TRUCKING/RAILROAD,GAS UTILITIES,TRANSPORTATION/TRUCKING/RAILROAD|GAS UTILITIES
8593,INFORMATION TECHNOLOGY AND SERVICES,COMMUNICATIONS EQUIPMENT,INFORMATION TECHNOLOGY AND SERVICES|COMMUNICATIONS EQUIPMENT
8594,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
8595,CONSTRUCTION,PUBLISHING,CONSTRUCTION|PUBLISHING
8596,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION
8597,MEDICAL PRACTICE,RETAIL,MEDICAL PRACTICE|RETAIL
8598,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8599,COMPUTER SOFTWARE,INFORMATION TECHNOLOGY AND SERVICES,COMPUTER SOFTWARE|INFORMATION TECHNOLOGY AND SERVICES
8600,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8601,APPAREL AND FASHION,APPAREL AND FASHION,APPAREL AND FASHION|APPAREL AND FASHION
8602,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8603,FACILITIES SERVICES,FACILITIES SERVICES,FACILITIES SERVICES|FACILITIES SERVICES
8604,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8605,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8606,HUMAN RESOURCES,PROFESSIONAL SERVICES,HUMAN RESOURCES|PROFESSIONAL SERVICES
8607,EDUCATION MANAGEMENT,DIVERSIFIED CONSUMER SERVICES,EDUCATION MANAGEMENT|DIVERSIFIED CONSUMER SERVICES
8608,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8609,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8610,EDUCATION MANAGEMENT, MEDIA,EDUCATION MANAGEMENT| MEDIA
8611,CONSUMER ELECTRONICS,COMMUNICATIONS EQUIPMENT,CONSUMER ELECTRONICS|COMMUNICATIONS EQUIPMENT
8612,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8613,COMPUTER SOFTWARE,"HOTELS, RESTAURANTS AND LEISURE","COMPUTER SOFTWARE|HOTELS, RESTAURANTS AND LEISURE"
8614,WHOLESALE,WHOLESALE,WHOLESALE|WHOLESALE
8615,"HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS","HEALTH, WELLNESS AND FITNESS|HEALTH, WELLNESS AND FITNESS"
8616,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
8617,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8618,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
8619,FURNITURE,FURNITURE,FURNITURE|FURNITURE
8620,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8621,BANKING,BANKING,BANKING|BANKING
8622,SPORTING GOODS,SPORTING GOODS,SPORTING GOODS|SPORTING GOODS
8623,INFORMATION TECHNOLOGY AND SERVICES,PHARMACEUTICALS,INFORMATION TECHNOLOGY AND SERVICES|PHARMACEUTICALS
8624,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8625,OUTSOURCING/OFFSHORING,MARKETING AND ADVERTISING,OUTSOURCING/OFFSHORING|MARKETING AND ADVERTISING
8626,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
8627,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8628,BANKING,BANKING,BANKING|BANKING
8629,HOSPITAL AND HEALTH CARE,INSURANCE,HOSPITAL AND HEALTH CARE|INSURANCE
8630,REAL ESTATE,REAL ESTATE,REAL ESTATE|REAL ESTATE
8631,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING,MANAGEMENT CONSULTING|MANAGEMENT CONSULTING
8632,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8633,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8634,MEDICAL DEVICES,MEDICAL DEVICES,MEDICAL DEVICES|MEDICAL DEVICES
8635,INFORMATION TECHNOLOGY AND SERVICES,COMPUTER SOFTWARE,INFORMATION TECHNOLOGY AND SERVICES|COMPUTER SOFTWARE
8636,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8637,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8638,SECURITY AND INVESTIGATIONS,FOOD AND STAPLES RETAILING,SECURITY AND INVESTIGATIONS|FOOD AND STAPLES RETAILING
8639,FOOD PRODUCTION,FOOD PRODUCTS,FOOD PRODUCTION|FOOD PRODUCTS
8640,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8641,SUPERMARKETS,SUPERMARKETS,SUPERMARKETS|SUPERMARKETS
8642,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8643,BROADCAST MEDIA,BROADCAST MEDIA,BROADCAST MEDIA|BROADCAST MEDIA
8644,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
8645,HOSPITAL AND HEALTH CARE,EDUCATION SERVICES,HOSPITAL AND HEALTH CARE|EDUCATION SERVICES
8646,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES|ENVIRONMENTAL SERVICES
8647,INFORMATION TECHNOLOGY AND SERVICES,METALS AND MINING,INFORMATION TECHNOLOGY AND SERVICES|METALS AND MINING
8648,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8649,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8650,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8651,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8652,APPAREL AND FASHION,APPAREL AND FASHION,APPAREL AND FASHION|APPAREL AND FASHION
8653,INFORMATION TECHNOLOGY AND SERVICES,COMMERCIAL SERVICES AND SUPPLIES,INFORMATION TECHNOLOGY AND SERVICES|COMMERCIAL SERVICES AND SUPPLIES
8654,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
8655,FACILITIES SERVICES,FACILITIES SERVICES,FACILITIES SERVICES|FACILITIES SERVICES
8656,INSURANCE,DIVERSIFIED FINANCIAL SERVICES,INSURANCE|DIVERSIFIED FINANCIAL SERVICES
8657,MARKETING AND ADVERTISING,MEDIA,MARKETING AND ADVERTISING|MEDIA
8658,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8659,RESEARCH,HIGHER EDUCATION,RESEARCH|HIGHER EDUCATION
8660,INFORMATION TECHNOLOGY AND SERVICES,MEDIA,INFORMATION TECHNOLOGY AND SERVICES|MEDIA
8661,FOOD AND BEVERAGES,DISTRIBUTORS,FOOD AND BEVERAGES|DISTRIBUTORS
8662,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8663,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8664,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING,ELECTRICAL/ELECTRONIC MANUFACTURING|ELECTRICAL/ELECTRONIC MANUFACTURING
8665,OUTSOURCING/OFFSHORING,MEDIA,OUTSOURCING/OFFSHORING|MEDIA
8666,FINANCIAL SERVICES,BANKS,FINANCIAL SERVICES|BANKS
8667,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES|ENVIRONMENTAL SERVICES
8668,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8669,TRANSPORTATION/TRUCKING/RAILROAD,ROAD AND RAIL,TRANSPORTATION/TRUCKING/RAILROAD|ROAD AND RAIL
8670,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8671,COSMETICS,COSMETICS,COSMETICS|COSMETICS
8672,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8673,GOVERNMENT ADMINISTRATION,DIVERSIFIED CONSUMER SERVICES,GOVERNMENT ADMINISTRATION|DIVERSIFIED CONSUMER SERVICES
8674,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
8675,INDUSTRIAL AUTOMATION,WHOLESALE,INDUSTRIAL AUTOMATION|WHOLESALE
8676,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
8677,INTERNET,INTERNET SOFTWARE AND SERVICES,INTERNET|INTERNET SOFTWARE AND SERVICES
8678,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
8679,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8680,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8681,APPAREL AND FASHION,"TEXTILES, APPAREL AND LUXURY GOODS","APPAREL AND FASHION|TEXTILES, APPAREL AND LUXURY GOODS"
8682,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES,ENVIRONMENTAL SERVICES|ENVIRONMENTAL SERVICES
8683,MECHANICAL OR INDUSTRIAL ENGINEERING,MECHANICAL OR INDUSTRIAL ENGINEERING,MECHANICAL OR INDUSTRIAL ENGINEERING|MECHANICAL OR INDUSTRIAL ENGINEERING
8684,RETAIL,RETAIL,RETAIL|RETAIL
8685,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
8686,CONSTRUCTION,CONSTRUCTION AND ENGINEERING,CONSTRUCTION|CONSTRUCTION AND ENGINEERING
8687,"LEISURE, TRAVEL AND TOURISM","HOTELS, RESTAURANTS AND LEISURE","LEISURE, TRAVEL AND TOURISM|HOTELS, RESTAURANTS AND LEISURE"
8688,CONSUMER GOODS,CONSUMER GOODS,CONSUMER GOODS|CONSUMER GOODS
8689,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8690,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD,TRANSPORTATION/TRUCKING/RAILROAD|TRANSPORTATION/TRUCKING/RAILROAD
8691,BUILDING MATERIALS,BUILDING MATERIALS,BUILDING MATERIALS|BUILDING MATERIALS
8692,COMPUTER AND NETWORK SECURITY,COMMUNICATIONS EQUIPMENT,COMPUTER AND NETWORK SECURITY|COMMUNICATIONS EQUIPMENT
8693,BIOTECHNOLOGY,FOOD PRODUCTS,BIOTECHNOLOGY|FOOD PRODUCTS
8694,"LEISURE, TRAVEL AND TOURISM",TRANSPORTATION,"LEISURE, TRAVEL AND TOURISM|TRANSPORTATION"
8695,MINING AND METALS,METALS AND MINING,MINING AND METALS|METALS AND MINING
8696,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
8697,TELECOMMUNICATIONS,DIVERSIFIED TELECOMMUNICATION SERVICES,TELECOMMUNICATIONS|DIVERSIFIED TELECOMMUNICATION SERVICES
8698,RESEARCH,RESEARCH,RESEARCH|RESEARCH
8699,FINANCIAL SERVICES,BANKING,FINANCIAL SERVICES|BANKING
8700,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
8701,FINANCIAL SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES|FINANCIAL SERVICES
8702,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8703,INFORMATION TECHNOLOGY AND SERVICES,GOVERNMENT ADMINISTRATION,INFORMATION TECHNOLOGY AND SERVICES|GOVERNMENT ADMINISTRATION
8704,AIRLINES/AVIATION,AIRLINES/AVIATION,AIRLINES/AVIATION|AIRLINES/AVIATION
8705,FISHERY,FISHERY,FISHERY|FISHERY
8706,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
8707,RETAIL,RETAIL,RETAIL|RETAIL
8708,ELECTRICAL/ELECTRONIC MANUFACTURING,HOUSEHOLD DURABLES,ELECTRICAL/ELECTRONIC MANUFACTURING|HOUSEHOLD DURABLES
8709,INVESTMENT BANKING,DIVERSIFIED FINANCIAL SERVICES,INVESTMENT BANKING|DIVERSIFIED FINANCIAL SERVICES
8710,LOGISTICS AND SUPPLY CHAIN,AIR FREIGHT AND LOGISTICS,LOGISTICS AND SUPPLY CHAIN|AIR FREIGHT AND LOGISTICS
8711,HOSPITALITY,FOOD PRODUCTS,HOSPITALITY|FOOD PRODUCTS
8712,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
8713,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8714,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8715,SPORTS,SPORTS,SPORTS|SPORTS
8716,FINANCIAL SERVICES,DIVERSIFIED FINANCIAL SERVICES,FINANCIAL SERVICES|DIVERSIFIED FINANCIAL SERVICES
8717,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION|CONSTRUCTION
8718,OIL AND ENERGY,GAS UTILITIES,OIL AND ENERGY|GAS UTILITIES
8719,HOSPITAL AND HEALTH CARE,PHARMACEUTICALS,HOSPITAL AND HEALTH CARE|PHARMACEUTICALS
8720,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE,HOSPITAL AND HEALTH CARE|HOSPITAL AND HEALTH CARE
8721,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
8722,CONSUMER GOODS,FOOD PRODUCTS,CONSUMER GOODS|FOOD PRODUCTS
8723,INVESTMENT BANKING,INVESTMENT BANKING,INVESTMENT BANKING|INVESTMENT BANKING
8724,HUMAN RESOURCES,COMMERCIAL SERVICES AND SUPPLIES,HUMAN RESOURCES|COMMERCIAL SERVICES AND SUPPLIES
8725,HIGHER EDUCATION,HIGHER EDUCATION,HIGHER EDUCATION|HIGHER EDUCATION
8726,COMPUTER SOFTWARE,COMPUTER SOFTWARE,COMPUTER SOFTWARE|COMPUTER SOFTWARE
8727,COMPUTER SOFTWARE,PHARMACEUTICALS,COMPUTER SOFTWARE|PHARMACEUTICALS
8728,"LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM","LEISURE, TRAVEL AND TOURISM|LEISURE, TRAVEL AND TOURISM"
8729,COMPUTER HARDWARE,"TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS","COMPUTER HARDWARE|TECHNOLOGY HARDWARE, STORAGE AND PERIPHERALS"
8730,INTERNET,COMPUTER SOFTWARE,INTERNET|COMPUTER SOFTWARE
8731,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION,GOVERNMENT ADMINISTRATION|GOVERNMENT ADMINISTRATION
8732,WIRELESS,TRANSPORTATION,WIRELESS|TRANSPORTATION
8733,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN,LOGISTICS AND SUPPLY CHAIN|LOGISTICS AND SUPPLY CHAIN
8734,NONPROFIT ORGANIZATION MANAGEMENT,NON-PROFIT ORGANIZATION MANAGEMENT,NONPROFIT ORGANIZATION MANAGEMENT|NON-PROFIT ORGANIZATION MANAGEMENT
8735,TELECOMMUNICATIONS,TELECOMMUNICATIONS,TELECOMMUNICATIONS|TELECOMMUNICATIONS
8736,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8737,INSURANCE,INSURANCE,INSURANCE|INSURANCE
8738,COMPUTER SOFTWARE,INTERNET SOFTWARE AND SERVICES,COMPUTER SOFTWARE|INTERNET SOFTWARE AND SERVICES
8739,HUMAN RESOURCES,HUMAN RESOURCES,HUMAN RESOURCES|HUMAN RESOURCES
8740,CONSUMER GOODS,PERSONAL PRODUCTS,CONSUMER GOODS|PERSONAL PRODUCTS
8741,INFORMATION TECHNOLOGY AND SERVICES,INTERNET SOFTWARE AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INTERNET SOFTWARE AND SERVICES
8742,CHEMICALS,CHEMICALS,CHEMICALS|CHEMICALS
8743,NEWSPAPERS,BROADCAST MEDIA,NEWSPAPERS|BROADCAST MEDIA
8744,AUTOMOTIVE,AUTOMOTIVE,AUTOMOTIVE|AUTOMOTIVE
8745,UTILITIES,UTILITIES,UTILITIES|UTILITIES
8746,PHARMACEUTICALS,PHARMACEUTICALS,PHARMACEUTICALS|PHARMACEUTICALS
8747,HOSPITAL AND HEALTH CARE,HEALTH CARE PROVIDERS AND SERVICES,HOSPITAL AND HEALTH CARE|HEALTH CARE PROVIDERS AND SERVICES
8748,BANKING,BANKING,BANKING|BANKING
8749,NEWSPAPERS,NEWSPAPERS,NEWSPAPERS|NEWSPAPERS
8750,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES,INFORMATION TECHNOLOGY AND SERVICES|INFORMATION TECHNOLOGY AND SERVICES
8751,OIL AND ENERGY,OIL AND ENERGY,OIL AND ENERGY|OIL AND ENERGY
8752,COMPUTER SOFTWARE,"HOTELS, RESTAURANTS AND LEISURE","COMPUTER SOFTWARE|HOTELS, RESTAURANTS AND LEISURE"
8753,CONSUMER GOODS,COMPUTER SOFTWARE,CONSUMER GOODS|COMPUTER SOFTWARE
8754,UTILITIES,ELECTRIC UTILITIES,UTILITIES|ELECTRIC UTILITIES
8755,BIOTECHNOLOGY,BIOTECHNOLOGY,BIOTECHNOLOGY|BIOTECHNOLOGY
8756,HOSPITAL AND HEALTH CARE,EDUCATION SERVICES,HOSPITAL AND HEALTH CARE|EDUCATION SERVICES
8757,RETAIL,RETAIL,RETAIL|RETAIL
8758,HOSPITALITY,"HOTELS, RESTAURANTS AND LEISURE","HOSPITALITY|HOTELS, RESTAURANTS AND LEISURE"
8759,BUILDING MATERIALS,BUILDING MATERIALS,BUILDING MATERIALS|BUILDING MATERIALS
8760,GOVERNMENT ADMINISTRATION,AUTOMOTIVE,GOVERNMENT ADMINISTRATION|AUTOMOTIVE
8761,APPAREL AND FASHION,APPAREL AND FASHION,APPAREL AND FASHION|APPAREL AND FASHION
