,industry,total_score
5692,airlines/aviation,10.44
5693,information technology and services,3.47
5694,computer software,10.48
5695,executive office,3.44
5696,computer software,10.51
5697,marketing and advertising,10.47
5698,charitable organizations and foundations,10.47
5699,organizations,10.47
5700,publishing,10.47
5701,media and internet,10.47
5702,religious organizations,10.47
5703,marketing and advertising,10.46
5704,telecommunications,3.41
5705,information technology and services,2.45
5706,engineering software,3.47
5707,software development and design,3.47
5708,software,3.47
5709,information collection and delivery,3.47
5710,media and internet,3.47
5711,search engines and internet portals,10.45
5712,media and internet,10.45
5713,internet,10.47
5714,computer software,3.36
5715,computer software,10.47
5716,marketing and advertising,10.46
5717,computer software,3.44
5718,e-learning,3.5
5719,banking,10.3
5720,finance,10.3
5721,computer software,4.35
5722,computer software,3.38
5723,industrial automation,10.45
5724,wireless,3.45
5725,toys and games,10.48
5726,manufacturing,10.48
5727,software development and design,10.48
5728,software,10.48
5729,marketing and advertising,10.46
5730,internet,10.48
5731,education management,3.46
5732,financial services,10.47
5733,engineering software,3.49
5734,software development and design,3.49
5735,software,3.49
5736,information collection and delivery,3.49
5737,media and internet,3.49
5738,electrical/electronic manufacturing,3.47
5739,retail,10.49
5740,its,3.42
5741,mechanical or industrial engineering,3.47
5742,renewables and environment,3.41
5743,internet,3.46
5744,hospitality,3.47
5745,information technology and services,10.48
5746,software development and design,3.42
5747,software,3.42
5748,engineering software,3.42
5749,business intelligence software(bi),3.42
5750,enterprise resource planning software(erp),3.42
5751,e-learning,3.43
5752,management consulting,3.42
5753,information technology and services,3.44
5754,computer hardware,3.46
5755,engineering software,3.37
5756,software development and design,3.37
5757,software,3.37
5758,media and internet,10.47
5759,information collection and delivery,10.47
5760,search engines and internet portals,10.47
5761,furniture,3.45
5762,search engines and internet portals,10.45
5763,media and internet,10.45
5764,software development and design,10.48
5765,software,10.48
5766,information and document management,10.48
5767,business services,10.48
5768,engineering software,10.48
5769,marketing and advertising,10.46
5770,software development and design,2.46
5771,software,2.46
5772,engineering software,2.46
5773,computer games,3.47
5774,computer software,3.37
5775,internet,3.48
5776,insurance,3.41
5777,software development and design,3.47
5778,software,3.47
5779,computer software,10.46
5780,education management,10.47
5781,computer software,3.46
5782,gambling and casinos,10.47
5783,computer networking,3.4
5784,government,3.41
5785,consumer goods,3.5
5786,utilities,10.47
5787,marketing and advertising,3.38
5788,education management,3.46
5789,information technology and services,3.48
5790,retail,10.49
5791,research,3.47
5792,education management,3.43
5793,entertainment,3.46
5794,computer hardware,3.4
5795,computer software,10.48
5796,computer software,3.33
5797,information technology and services,3.4
5798,information services,3.43
5799,computer games,10.47
5800,its,3.48
5801,internet,10.47
5802,computer software,3.46
5803,information technology and services,10.47
5804,computer software,10.47
5805,information technology and services,10.45
5806,education management,3.42
5807,computer software,3.49
5808,software development and design,10.53
5809,software,10.53
5810,engineering software,10.53
5811,business intelligence software(bi),10.53
5812,enterprise resource planning software(erp),10.53
5813,software development and design,3.33
5814,software,3.33
5815,engineering software,3.33
5816,business intelligence software(bi),3.33
5817,enterprise resource planning software(erp),3.33
5818,internet,10.48
5819,publishing,3.46
5820,computer software,10.45
5821,consumer electronics,3.46
5822,information technology and services,10.47
5823,consumer electronics,10.46
5824,computer games,10.48
5825,information technology and services,10.41
5826,computer software,3.47
5827,information technology and services,3.44
5828,information technology and services,2.46
5829,information technology and services,3.47
5830,computer software,4.34
5831,information services,3.45
5832,nonprofit organization management,3.46
5833,computer software,3.44
5834,construction,4.4
5835,commercial and residential construction,4.4
5836,architecture,4.4
5837,engineering and design,4.4
5838,computer software,3.42
5839,internet,10.48
5840,marketing and advertising,10.47
5841,real estate,3.45
5842,internet,3.45
5843,information technology and services,3.4
5844,telecommunications,2.45
5845,internet,3.44
5846,educational software,10.48
5847,computer software,3.13
5848,computer software,3.43
5849,telecommunications,10.41
5850,oil and energy,10.35
5851,internet,3.39
5852,computer software,2.45
5853,newspapers and news services,3.42
5854,media and internet,3.42
5855,sports,3.4
5856,information technology and services,10.46
5857,medical devices and equipment,3.46
5858,manufacturing,3.46
5859,internet,10.43
5860,finacial services,10.44
5861,management consulting,3.45
5862,management consulting,3.43
5863,financial services,3.41
5864,design,10.47
5865,internet,3.43
5866,computer software,3.43
5867,hospital and health care,3.48
5868,computer software,10.49
5869,information technology and services,3.43
5870,internet,10.31
5871,internet,3.4
5872,leisure,3.17
5873,travel and tourism,3.17
5874,textiles,10.48
5875,information technology and services,10.45
5876,hospital and health care,3.43
5877,internet,3.46
5878,information technology and services,3.44
5879,computer software,3.44
5880,electrical/electronic manufacturing,10.45
5881,publishing,3.44
5882,marketing and advertising,10.47
5883,design,3.3
5884,consumer electronics,3.46
5885,higher education,3.48
5886,real estate,4.47
5887,computer software,2.46
5888,software development and design,3.46
5889,software,3.46
5890,metals and minerals,3.46
5891,manufacturing,3.46
5892,metals and mining,3.46
5893,energy,3.46
5894,utilities and waste treatment,3.46
5895,internet,3.43
5896,software development and design,4.48
5897,software,4.48
5898,drug stores and pharmacies,4.48
5899,retail,4.48
5900,healthcare,4.48
5901,biotechnology,4.48
5902,drug manufacturing and research,4.48
5903,pharmaceuticals,4.48
5904,hospitals and clinics,4.48
5905,supply chain management software(scm),4.48
5906,healthcare software,4.48
5907,marketing and advertising,3.41
5908,computer games,10.47
5909,computer software,10.55
5910,health,10.45
5911,wellness and fitness,10.45
5912,information technology and services,2.44
5913,legal services,3.43
5914,religious institutions,3.44
5915,apparel retail,3.44
5916,telecommunications,10.47
5917,telephony and wireless,10.47
5918,information technology and services,10.44
5919,internet,3.47
5920,information technology and services,3.45
5921,computer software,10.33
5922,b2b,10.46
5923,professional services,10.46
5924,retail,10.45
5925,insurance,3.45
5926,software development and design,4.44
5927,software,4.44
5928,newspapers and news services,4.44
5929,publishing,4.44
5930,media and internet,4.44
5931,custom software and technical consulting,4.44
5932,transportation,4.44
5933,internet,10.47
5934,computer software,10.46
5935,consumer electronics,10.49
5936,industrial automation,3.47
5937,consumer electronics,3.42
5938,food and beverages,3.41
5939,health care,3.45
5940,information technology and services,3.43
5941,civic and social organization,10.44
5942,architecture and planning,3.44
5943,computer software,3.39
5944,international affairs,3.44
5945,information technologies and services,10.43
5946,marketing and advertising,3.44
5947,wireless,3.44
5948,hospital and health care,10.48
5949,e-learning,10.48
5950,consumer electronics,10.47
5951,engineering software,10.48
5952,software development and design,10.48
5953,software,10.48
5954,internet,10.41
5955,consumer electronics,10.49
5956,design,3.43
5957,publishing,3.44
5958,hospital and health care,10.4
5959,consumer goods,3.45
5960,internet,3.47
5961,real state,3.44
5962,internet,3.38
5963,human resource,3.13
5964,crowdsourcing,10.47
5965,recruiti,10.47
5966,financial services,10.3
5967,retail,3.32
5968,computer networking,10.49
5969,management consulting,10.47
5970,acounting,10.45
5971,higher education,3.46
5972,information technology and services,3.45
5973,computer software,10.5
5974,information technology and services,10.46
5975,information technology and services,3.44
5976,accounting,10.45
5977,nformation technology and services,3.42
5978,information technology and services,3.46
5979,computer software,3.41
5980,higher education,3.42
5981,consumer electronics,3.48
5982,computer software,3.47
5983,software development and design,2.46
5984,software,2.46
5985,software development and design,2.46
5986,software,2.46
5987,engineering software,2.46
5988,content and collaboration software,2.46
5989,information technology and services,10.49
5990,e-learning,3.37
5991,computer software,10.46
5992,media production,4.38
5993,computer software,3.46
5994,financial services,3.19
5995,information technology and services,10.48
5996,computer software,10.39
5997,financial services,3.45
5998,information technology and services,3.45
5999,internet,3.45
6000,internet,10.45
